"COCNUM","pop","CoC Name","CoC Category","Overall Homeless, 2022","homeless_ratio","is_king","class"
"FL-505",299786,"Fort Walton Beach/Okaloosa, Walton Counties CoC","Largely Suburban CoC",403,13.4,"FALSE","3"
"FL-506",450574,"Tallahassee/Leon County CoC","Other Largely Urban CoC",621,13.8,"FALSE","3"
"FL-507",2354043,"Orlando/Orange, Osceola, Seminole Counties CoC","Largely Suburban CoC",2151,9.1,"FALSE","2"
"FL-508",450326,"Gainesville/Alachua, Putnam Counties CoC","Largely Rural CoC",925,20.5,"FALSE","5"
"FL-509",688062,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","Largely Suburban CoC",846,12.3,"FALSE","3"
"FL-510",1341024,"Jacksonville-Duval, Clay Counties CoC","Major City CoC",1279,9.5,"FALSE","2"
"FL-511",523146,"Pensacola/Escambia, Santa Rosa Counties CoC","Largely Suburban CoC",727,13.9,"FALSE","3"
"FL-512",306841,"St. Johns County CoC","Largely Suburban CoC",349,11.4,"FALSE","3"
"FL-513",630693,"Palm Bay, Melbourne/Brevard County CoC","Largely Suburban CoC",916,14.5,"FALSE","3"
"FL-514",396415,"Ocala/Marion County CoC","Largely Suburban CoC",455,11.5,"FALSE","3"
"FL-515",307188,"Panama City/Bay, Jackson Counties CoC","Largely Rural CoC",378,12.3,"FALSE","3"
"FL-517",260780,"Hendry, Hardee, Highlands Counties CoC","Largely Rural CoC",650,24.9,"FALSE","5"
